ailment_id,name,remedy,ingredients,dosage,sources,physician_id,evidence_label,contraindications
001,Common Cold,Ginger-Tulsi Tea,"1-inch fresh ginger root;8-10 fresh tulsi leaves;2 cups water;1 tsp honey","2-3 times daily, warm","PMID:23055638 (Grzanna 2012) | PMID:24250142 (Cohen 2014)",DR_AYUR_001,PhysicianVerified,"May interact with blood thinners"
002,Indigestion,Fennel Seed Tea,"1 tsp fennel seeds;1 cup boiling water","After meals or as needed","PMID:22419931 (Rahimi 2012)",DR_AYUR_002,PhysicianVerified,"Avoid during pregnancy without medical advice"
003,Type 2 Diabetes Support,Kodo Millet Porridge,"1/2 cup kodo millet;2 cups water;1/4 tsp turmeric;1 tsp ghee","Once daily, preferably breakfast","IIMR Bulletin 2018 | PMID:30886472 (Chandrasekara 2019)",DR_NUTR_001,PhysicianVerified,"Monitor blood sugar levels; Consult if on diabetes medication"
004,Mild Headache,Peppermint Tea,"1 tbsp fresh peppermint leaves;1 cup boiling water","Up to 3 times daily","PMID:8692607 (Göbel 1996)",DR_AYUR_001,PhysicianVerified,"May worsen GERD"
005,Insomnia,Chamomile Tea,"2 tsp dried chamomile;1 cup boiling water;Honey optional","30-45 min before bedtime","PMID:21132119 (Srivastava 2010)",DR_AYUR_003,PhysicianVerified,"Avoid if allergic to ragweed"
006,Sore Throat,Honey-Lemon Warm Water,"1 tbsp raw honey;1 tbsp lemon juice;1 cup warm water","3-4 times daily","PMID:23569748 (Mandal 2011)",DR_AYUR_002,PhysicianVerified,"Never for children under 1 year"
007,Inflammation,Turmeric Golden Milk,"1 cup milk;1 tsp turmeric;1/4 tsp black pepper;1/2 tsp cinnamon;1 tsp honey","Once daily, before bedtime","PMID:29065496 (Hewlings 2017)",DR_NUTR_002,PhysicianVerified,"May interact with blood thinners"
008,Respiratory Support,Foxtail Millet Salad,"1 cup cooked foxtail millet;1/2 cucumber;1 tomato;Lemon juice;Olive oil","As needed, serve chilled","Food Rev Int 2020 (Devi) | Emirates J Food Agric 2017",DR_NUTR_001,PhysicianVerified,"None known"
009,Minor Burns,Aloe Vera Gel,"Pure aloe vera gel","3-4 times daily, thin layer","PMID:19882025 (Surjushe 2008)",DR_DERM_001,PhysicianVerified,"Only for minor burns; Seek medical help for severe burns"
010,Itchy Skin,Colloidal Oatmeal Bath,"1 cup colloidal oatmeal;Lukewarm bathwater","1-2 times daily, 15-20 min soak","PMID:25607907 (Reynertson 2015)",DR_DERM_001,PhysicianVerified,"Avoid if allergic to oats"
011,Acidity,Cumin Water,"1 tsp cumin seeds;1 cup water","Twice daily, on empty stomach","Traditional Ayurvedic Text | PMID:25230520 (Johri 2011)",DR_AYUR_002,PhysicianVerified,"None known for normal consumption"
012,Constipation,Triphala Powder,"1 tsp triphala powder;Warm water","Once daily, before bed","PMID:28701912 (Peterson 2017)",DR_AYUR_001,PhysicianVerified,"May cause loose stools initially; Avoid during pregnancy"
013,Anxiety,Ashwagandha Tea,"1 tsp ashwagandha powder;1 cup warm milk;Honey optional","Once daily, evening","PMID:23439798 (Chandrasekhar 2012) | PMID:31517876 (Lopresti 2019)",DR_AYUR_003,PhysicianVerified,"Avoid if pregnant or breastfeeding"
014,Joint Pain,Ginger-Turmeric Paste,"2 tsp ginger paste;1 tsp turmeric;1 tsp honey;Warm water","Twice daily","PMID:24672232 (Daily 2016) | PMID:27533649 (Kuptniratsaikul 2014)",DR_AYUR_001,PhysicianVerified,"May interact with blood thinners"
015,Nausea,Ginger Candy,"Fresh ginger slices;Honey;Lemon","As needed, chew slowly","PMID:24633992 (Viljoen 2014)",DR_AYUR_002,PhysicianVerified,"Avoid high doses during pregnancy"
016,Bloating,Ajwain Water,"1 tsp ajwain seeds;1 cup warm water","After meals","Traditional Ayurvedic Practice | Indian J Pharm Sci 2010",DR_AYUR_002,PhysicianVerified,"None known"
017,Dry Cough,Honey-Ginger Syrup,"2 tbsp honey;1 tsp ginger juice;1/2 tsp black pepper","3 times daily, 1 tsp","PMID:22869830 (Oduwole 2018)",DR_AYUR_003,PhysicianVerified,"Not for children under 1 year"
018,High Blood Pressure Support,Hibiscus Tea,"2 tsp dried hibiscus flowers;1 cup boiling water","Twice daily","PMID:25875025 (Serban 2015) | PMID:20018807 (McKay 2010)",DR_NUTR_002,PhysicianVerified,"May lower blood pressure; Monitor if on BP medication"
019,Fatigue,Dates-Almond Energy Balls,"5 dates;10 almonds;1 tsp ghee;Cardamom powder","1-2 balls daily, morning","Traditional Ayurvedic Recipe | Nutrition Reviews 2011",DR_NUTR_001,PhysicianVerified,"High calorie; Moderate for weight management"
020,Skin Dryness,Coconut Oil Massage,"Pure coconut oil;Few drops lemon juice (optional)","Daily, before bath","PMID:30287361 (Evangelista 2014)",DR_DERM_001,PhysicianVerified,"Patch test for allergies"
